1:{(1,1) ; (3,2) ; (6,3) ; (8,4) ; (2,5) ; (4,6) ; (9,7) ; (7,8) ; (8,7)}
2:{(1,1) ; (3,2) ; (7,3) ; (2,4) ; (8,5) ; (5,6) ; (9,7) ; (4,8) ; (8,4)}
3:{(1,1) ; (3,2) ; (8,3) ; (6,4) ; (9,5) ; (2,6) ; (5,7) ; (7,8) ; (8,7)}
4:{(1,1) ; (4,2) ; (2,3) ; (8,4) ; (6,5) ; (9,6) ; (3,7) ; (5,8) ; (8,5)}
5:{(1,1) ; (4,2) ; (6,3) ; (3,4) ; (9,5) ; (2,6) ; (8,7) ; (5,8) ; (8,5)}
6:{(1,1) ; (4,2) ; (6,3) ; (8,4) ; (2,5) ; (5,6) ; (3,7) ; (9,8) ; (8,9)}
7:{(1,1) ; (4,2) ; (7,3) ; (3,4) ; (8,5) ; (2,6) ; (5,7) ; (9,8) ; (8,9)}
8:{(1,1) ; (4,2) ; (7,3) ; (9,4) ; (2,5) ; (5,6) ; (8,7) ; (6,8) ; (8,6)}
9:{(1,1) ; (4,2) ; (8,3) ; (3,4) ; (9,5) ; (7,6) ; (5,7) ; (2,8) ; (8,2)}
10:{(1,1) ; (5,2) ; (2,3) ; (6,4) ; (9,5) ; (3,6) ; (8,7) ; (4,8) ; (8,4)}
11:{(1,1) ; (5,2) ; (7,3) ; (2,4) ; (6,5) ; (3,6) ; (9,7) ; (4,8) ; (8,4)}
12:{(1,1) ; (5,2) ; (7,3) ; (9,4) ; (3,5) ; (8,6) ; (2,7) ; (4,8) ; (8,4)}
13:{(1,1) ; (5,2) ; (7,3) ; (9,4) ; (4,5) ; (2,6) ; (8,7) ; (6,8) ; (8,6)}
14:{(1,1) ; (5,2) ; (9,3) ; (2,4) ; (6,5) ; (8,6) ; (3,7) ; (7,8) ; (8,7)}
15:{(1,1) ; (5,2) ; (9,3) ; (6,4) ; (4,5) ; (2,6) ; (8,7) ; (3,8) ; (8,3)}
16:{(1,1) ; (6,2) ; (2,3) ; (9,4) ; (7,5) ; (4,6) ; (8,7) ; (3,8) ; (8,3)}
17:{(1,1) ; (6,2) ; (4,3) ; (2,4) ; (7,5) ; (9,6) ; (3,7) ; (5,8) ; (8,5)}
18:{(1,1) ; (6,2) ; (4,3) ; (2,4) ; (8,5) ; (3,6) ; (9,7) ; (7,8) ; (8,7)}
19:{(1,1) ; (6,2) ; (8,3) ; (3,4) ; (7,5) ; (4,6) ; (2,7) ; (9,8) ; (8,9)}
20:{(1,1) ; (6,2) ; (8,3) ; (5,4) ; (2,5) ; (4,6) ; (9,7) ; (7,8) ; (8,7)}
21:{(1,1) ; (6,2) ; (9,3) ; (5,4) ; (2,5) ; (8,6) ; (3,7) ; (7,8) ; (8,7)}
